resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.873e-01      0.000e+00      8.961e-01      7.094e-01      5.166e-01      3.991e-01      3.520e-01      1.968e-01      
2.000e-03      9.863e-01      0.000e+00      8.980e-01      7.112e-01      5.112e-01      3.920e-01      3.405e-01      1.687e-01      
5.000e-03      9.842e-01      0.000e+00      9.030e-01      7.129e-01      5.166e-01      3.902e-01      3.226e-01      1.338e-01      
1.000e-02      9.796e-01      0.000e+00      8.984e-01      7.198e-01      5.265e-01      4.067e-01      3.346e-01      1.255e-01      
1.500e-02      9.749e-01      0.000e+00      8.921e-01      7.240e-01      5.404e-01      4.183e-01      3.448e-01      1.298e-01      
2.000e-02      9.692e-01      0.000e+00      8.856e-01      7.176e-01      5.455e-01      4.259e-01      3.494e-01      1.342e-01      
2.500e-02      9.624e-01      0.000e+00      8.789e-01      7.102e-01      5.436e-01      4.279e-01      3.498e-01      1.371e-01      
3.000e-02      9.547e-01      0.000e+00      8.720e-01      7.045e-01      5.368e-01      4.257e-01      3.479e-01      1.384e-01      
3.500e-02      9.462e-01      0.000e+00      8.645e-01      6.996e-01      5.314e-01      4.221e-01      3.443e-01      1.387e-01      
4.000e-02      9.371e-01      0.000e+00      8.563e-01      6.947e-01      5.273e-01      4.202e-01      3.419e-01      1.383e-01      
4.500e-02      9.274e-01      0.000e+00      8.473e-01      6.893e-01      5.235e-01      4.188e-01      3.407e-01      1.383e-01      
5.000e-02      9.174e-01      1.230e-03      8.376e-01      6.833e-01      5.195e-01      4.173e-01      3.397e-01      1.395e-01      
